aanbevelingID;zorgprofessionalID;productID;clientID
39280995-2913-4587-89d3-14ac554f182f;6fb93abf-1d71-481f-88f3-81f9f56efdb5;3e32faba-8f55-4d08-8b22-dddcba50aba2;4afc2ff3-fb79-44cd-a5d1-bd53055627a0
7b3f6e34-211e-496b-b5fe-059776329f9c;6fb93abf-1d71-481f-88f3-81f9f56efdb5;61bd918d-1e56-488b-b233-65e1a22f5fff;3cdee920-cdce-421c-85ec-ed40f7514b77
20f7ae15-91da-49c2-bb19-e9a508d2f6ff;6fb93abf-1d71-481f-88f3-81f9f56efdb5;52fd62d9-eafe-4209-8d5c-104299a81f49;31a9e3df-643a-4355-a5d7-e8320de4e909
489fc044-e78d-4302-b422-5c86366801df;cc7e1412-b4b7-4dbb-aef3-84d8f7e449c7;52fd62d9-eafe-4209-8d5c-104299a81f49;deb13c57-0df0-4678-a296-9321bcdbcd02
e09320f0-ac01-4b79-81a9-c96ce7426220;cc7e1412-b4b7-4dbb-aef3-84d8f7e449c7;52fd62d9-eafe-4209-8d5c-104299a81f49;e312f282-e44c-492f-b076-b23029da7129
aa1a1929-66a0-4073-bf62-b5bbb0e8bd7b;cc7e1412-b4b7-4dbb-aef3-84d8f7e449c7;3c725347-1301-4a19-a42e-962008971939;5ae256dd-9af8-4e6b-8815-a780ca6c7a7f
986986e3-f45f-4bcc-b254-d74a0814b58b;cc7e1412-b4b7-4dbb-aef3-84d8f7e449c7;3c725347-1301-4a19-a42e-962008971939;220eac56-6697-43b0-a4bb-f6e7d63b1bd5
28cede54-a96d-43cd-8e87-9173338b936a;60150a48-dbe4-4d85-9b85-0d71a0513aa3;657e87b1-c53c-4f62-8ad6-ce6c7d4a29e1;f84eb661-fc2a-4a15-bd89-2a8ffb353390
653a56e2-f4dd-412a-8057-d3f0fc588560;65b5f347-dce2-4409-9682-6f1b55a2e09a;657e87b1-c53c-4f62-8ad6-ce6c7d4a29e1;21c048d4-753e-46d4-b5d0-73d10fc1608b
c2bc0865-ddc9-401d-98cd-8603213f533b;65b5f347-dce2-4409-9682-6f1b55a2e09a;97099447-ea1e-4c98-a465-d3c8fb39c7ed;90dc3281-fac3-40d3-a07e-ffffa04d6a75
